flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,burst_mean_size_variance,small_to_large_ratio,inter_burst_gap,source_pcap,label
"(6, '10.211.218.53', 58867, '10.211.218.77', 53)",1,52,1e-09,52.0,0.0,52,52,0.0,0.0,1.0,1,1.0,52000000000.0,1000000000.0,0.0,1.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 55942, '10.211.218.77', 53)",13,682,0.1644198894500732,52.46153846153846,26.497069169178182,40,137,0.0137016574541727,0.0307769573453872,0.4868035190615836,2,6.5,4147.916667995888,79.06586024039082,12.925736961451245,13.0,0.1088640689849853,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 53957, '10.211.218.77', 53)",13,644,0.1390690803527832,49.53846153846154,18.049570140269843,40,103,0.0115890900293986,0.0245418138657591,0.5093167701863354,1,13.0,4630.7921096935015,93.47872271120424,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 55920, '98.82.157.231', 443)",23,9661,1.191526174545288,420.0434782608696,538.2765151901883,40,1398,0.0541602806611494,0.1106195898462404,0.3036952696408239,5,4.6,8108.088774203256,19.30297503433132,51678.887777777774,3.0,0.2884774804115295,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 57871, '151.101.1.44', 443)",30,11630,26.75639605522156,387.6666666666667,551.5428864155133,40,1440,0.9226343467317778,4.842399715692883,0.2548581255374033,2,15.0,434.6624252383342,1.121227236212384,42320.718400000005,3.0,26.546133995056152,nonai_009.pcap,non_ai
"(17, '10.211.218.53', 62600, '10.211.218.77', 53)",2,268,0.0237588882446289,134.0,54.0,80,188,0.0237588882446289,0.0,0.2985074626865671,1,2.0,11279.98908200538,84.17902300004015,0.0,2.0,0.0,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 63968, '10.211.218.77', 53)",1,52,1e-09,52.0,0.0,52,52,0.0,0.0,1.0,1,1.0,52000000000.0,1000000000.0,0.0,1.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 50093, '10.211.218.77', 53)",13,955,0.1360120773315429,73.46153846153847,100.0842840076575,40,419,0.0113343397776285,0.0227753279494739,0.3382198952879581,1,13.0,7021.435292632819,95.57974743898076,0.0,12.0,0.0,nonai_009.pcap,non_ai
"(17, '10.221.8.170', 53, '10.221.8.53', 52262)",2,180,0.2399921417236328,90.0,14.0,76,104,0.2399921417236328,0.0,0.4222222222222222,2,1.0,750.0245579177429,8.333606199086033,196.0,2.0,0.2399921417236328,nonai_001.pcap,non_ai
"(6, '10.211.218.53', 62622, '23.106.127.162', 443)",11,5511,0.1370768547058105,501.0,843.2720902424189,40,2840,0.013707685470581,0.0271413633709057,0.3799673380511704,1,11.0,40203.72375648326,80.24695360575501,0.0,3.5,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 56311, '10.211.218.77', 53)",13,657,0.1733210086822509,50.53846153846154,20.0714699343482,40,108,0.0144434173901875,0.0330674643301862,0.5114155251141552,2,6.5,3790.6541451329576,75.0053331609261,0.7971938775510194,13.0,0.1167981624603271,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 49925, '10.211.218.77', 53)",13,707,0.130774974822998,54.38461538461539,32.54000723733658,40,161,0.0108979145685831,0.0235175973425953,0.471004243281471,1,13.0,5406.233118812784,99.40739822428031,0.0,13.0,0.0,nonai_009.pcap,non_ai
"(6, '10.211.218.53', 64712, '10.211.218.77', 53)",13,660,0.1924879550933838,50.76923076923077,20.2186275352281,40,105,0.0160406629244486,0.0344369490594524,0.5181818181818182,2,6.5,3428.785970944556,67.53669336708974,0.0459183673469392,13.0,0.1238019466400146,non_ai_001.pcap,non_ai
"(6, '10.211.218.53', 58243, '10.211.218.77', 53)",13,716,0.3384130001068115,55.07692307692308,26.461762074189352,40,135,0.0282010833422342,0.0581460034860862,0.5698324022346368,2,6.5,2115.757963713015,38.41459989981732,4.730625000000003,13.0,0.2084720134735107,nonai_009.pcap,non_ai
"(17, '10.211.218.53', 57955, '142.250.206.162', 443)",26,17203,19.0921528339386,661.6538461538462,573.7024116217324,49,1278,0.763686113357544,3.676083456651528,0.4580596407603325,2,13.0,901.0508217501588,1.3618160417080818,92112.25,1.0909090909090908,18.77231192588806,nonai_009.pcap,non_ai
"(17, '10.211.218.53', 63685, '172.253.118.94', 443)",38,19113,10.038960933685305,502.9736842105263,539.8484430029806,49,1278,0.2713232684779811,1.0634396631390028,0.4754355674148485,4,9.5,1903.8822968089405,3.785252303601724,47801.606183127566,2.0,3.165927330652873,nonai_009.pcap,non_ai
