flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(17, '10.221.8.170', 5353, '224.0.0.251', 5353)",7,735,140.18103408813477,105.0,0.0,105,105,23.363505681355797,7.419243195536415,1.0,7,1.0,5.243219988931527,0.0499354284660145,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 50748)",2,171,0.0751781463623046,85.5,22.5,63,108,0.0751781463623046,0.0,0.3684210526315789,1,2.0,2274.597183813269,26.60347583407332,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 53554)",2,154,0.0727760791778564,77.0,14.0,63,91,0.0727760791778564,0.0,0.4090909090909091,1,2.0,2116.0799226850563,27.481557437468265,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 60507)",2,158,0.0726070404052734,79.0,16.0,63,95,0.0726070404052734,0.0,0.3987341772151899,1,2.0,2176.097512280978,27.545538130138965,chatgpt_001.pcap,chatgpt
"(6, '10.221.8.53', 64965, '48.218.107.32', 443)",15,1115,221.566565990448,74.33333333333333,24.689178916188272,40,97,15.826183285032,24.751724453029095,0.6143497757847534,10,1.5,5.032347705601345,0.0676997449184037,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 52631)",2,180,0.0872838497161865,90.0,25.0,65,115,0.0872838497161865,0.0,0.3611111111111111,1,2.0,2062.237178874336,22.913746431937067,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 53219)",2,158,0.0054969787597656,79.0,14.0,65,93,0.0054969787597656,0.0,0.4113924050632911,1,2.0,28743.061762664816,363.8362248438584,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 53561)",2,146,0.0070757865905761,73.0,8.0,65,81,0.0070757865905761,0.0,0.4452054794520548,1,2.0,20633.74836579284,282.6540872026417,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 61010)",2,219,0.0837130546569824,109.5,43.5,66,153,0.0837130546569824,0.0,0.3013698630136986,1,2.0,2616.079426289737,23.891136313148287,chatgpt_001.pcap,chatgpt
"(17, '10.221.8.170', 53, '10.221.8.53', 57755)",2,190,0.0865519046783447,95.0,29.0,66,124,0.0865519046783447,0.0,0.3473684210526316,1,2.0,2195.214544452861,23.107521520556435,chatgpt_001.pcap,chatgpt
