flow_key,total_packets,total_bytes,flow_duration,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,direction_ratio,burst_count,burst_avg_size,bytes_per_second,packets_per_second,source_pcap,label
"(17, '10.211.218.77', 5353, '224.0.0.251', 5353)",12,1207,142.25510692596436,100.58333333333333,10.766137757906604,68,105,12.932282447814941,9.393449803105092,1.0,10,1.2,8.484756899646312,0.08435549527403127,chatgpt_019.pcap,chatgpt
"(6, '10.211.218.53', 56931, '20.207.73.82', 443)",5,263,0.06824111938476562,52.6,16.144348856488453,40,79,0.017060279846191406,0.028044892833552534,0.6958174904942965,1,5.0,3853.9813293085135,73.2696070210744,chatgpt_019.pcap,chatgpt
"(6, '10.211.218.53', 60132, '20.207.73.85', 443)",5,263,0.13407611846923828,52.6,16.144348856488453,40,79,0.03351902961730957,0.057658473230458314,0.6958174904942965,2,2.5,1961.5722993975346,37.29224903797594,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 60188, '10.211.218.77', 53)",2,145,0.029278039932250977,72.5,12.5,60,85,0.029278039932250977,0.0,0.41379310344827586,1,2.0,4952.517324777486,68.31058379003429,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 52510, '10.211.218.77', 53)",2,344,0.004598855972290039,172.0,112.0,60,284,0.004598855972290039,0.0,0.1744186046511628,1,2.0,74801.21188242003,434.890766758256,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 65381, '10.211.218.77', 53)",2,248,0.004805088043212891,124.0,64.0,60,188,0.004805088043212891,0.0,0.24193548387096775,1,2.0,51611.95752704178,416.22546392775627,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 54374, '10.211.218.77', 53)",2,171,0.02616596221923828,85.5,22.5,63,108,0.02616596221923828,0.0,0.3684210526315789,1,2.0,6535.207785107701,76.43517877318949,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 62665, '10.211.218.77', 53)",2,154,0.026215076446533203,77.0,14.0,63,91,0.026215076446533203,0.0,0.4090909090909091,1,2.0,5874.482201647962,76.29197664477873,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 60527, '10.211.218.77', 53)",2,158,0.025697946548461914,79.0,16.0,63,95,0.025697946548461914,0.0,0.3987341772151899,1,2.0,6148.351180590991,77.82723013406319,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 53200, '10.211.218.77', 53)",2,177,0.028275012969970703,88.5,28.5,60,117,0.028275012969970703,0.0,0.3389830508474576,1,2.0,6259.944078115251,70.73383139113277,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 52019, '10.211.218.77', 53)",2,148,0.029961109161376953,74.0,14.0,60,88,0.029961109161376953,0.0,0.40540540540540543,1,2.0,4939.737017172505,66.75320293476358,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 50541, '10.211.218.77', 53)",2,136,0.029788970947265625,68.0,8.0,60,76,0.029788970947265625,0.0,0.4411764705882353,1,2.0,4565.448072736586,67.13894224612626,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 62591, '10.211.218.77', 53)",2,177,0.0284121036529541,88.5,28.5,60,117,0.0284121036529541,0.0,0.3389830508474576,1,2.0,6229.739344963875,70.39253497134322,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 61061, '10.211.218.77', 53)",2,148,0.027202129364013672,74.0,14.0,60,88,0.027202129364013672,0.0,0.40540540540540543,1,2.0,5440.750539029222,73.52365593282732,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 57379, '10.211.218.77', 53)",2,136,0.03014397621154785,68.0,8.0,60,76,0.03014397621154785,0.0,0.4411764705882353,1,2.0,4511.680842817936,66.34824768849904,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 51305, '10.211.218.77', 53)",2,177,0.060304880142211914,88.5,28.5,60,117,0.060304880142211914,0.0,0.3389830508474576,1,2.0,2935.085843510439,33.164811791078414,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 51822, '10.211.218.77', 53)",2,148,0.06014895439147949,74.0,14.0,60,88,0.06014895439147949,0.0,0.40540540540540543,1,2.0,2460.558150965384,33.25078582385654,chatgpt_019.pcap,chatgpt
"(17, '10.211.218.53', 56932, '10.211.218.77', 53)",2,136,0.059986114501953125,68.0,8.0,60,76,0.059986114501953125,0.0,0.4411764705882353,1,2.0,2267.1913513513514,33.341049284578695,chatgpt_019.pcap,chatgpt
