model,fold,accuracy,cohen_kappa,mcc,macro_f1,f1_chatgpt,f1_claude,f1_copilot,f1_non_ai
Random Forest,1,0.6565420560747663,0.5307822533131474,0.5329683609697075,0.6650086455226561,0.592057761732852,0.6814814814814815,0.6790123456790124,0.7074829931972789
Random Forest,2,0.6985981308411215,0.5888384977994237,0.5892742399731553,0.701952367765162,0.6666666666666666,0.7101449275362319,0.6666666666666666,0.7643312101910829
Random Forest,3,0.6355140186915887,0.506548023767996,0.5082780242477509,0.6352114260008996,0.5263157894736842,0.6923076923076923,0.6555555555555556,0.6666666666666666
Random Forest,4,0.6768149882903981,0.5621684276224868,0.5629300804458811,0.6776542839198607,0.6276150627615062,0.7050359712230215,0.6779661016949152,0.7
Random Forest,5,0.6861826697892272,0.5727895829289054,0.5733204229337133,0.6873274023349798,0.6412213740458015,0.7205882352941176,0.6875,0.7
XGBoost,1,0.6799065420560748,0.5610585020773291,0.5637905236768714,0.684975289641587,0.6285714285714286,0.7101449275362319,0.6878980891719745,0.7132867132867133
XGBoost,2,0.6985981308411215,0.5865725175406411,0.5874329894895934,0.7011083039721849,0.6387832699619772,0.7335640138408305,0.6756756756756757,0.7564102564102564
XGBoost,3,0.6915887850467289,0.5796303461412542,0.5806861872360186,0.6916894977168949,0.6,0.7534246575342466,0.6666666666666666,0.7466666666666667
XGBoost,4,0.6908665105386417,0.5793794122475784,0.5796390515904034,0.686891148836495,0.6311475409836066,0.7535211267605634,0.6705882352941176,0.6923076923076923
XGBoost,5,0.7142857142857143,0.6082450968595837,0.6097189831292426,0.7171403166084017,0.6592592592592592,0.75177304964539,0.7432432432432432,0.7142857142857143
1D CNN,1,0.39485981308411217,0.14670813095118962,0.15499288308875897,0.3270539124249216,0.3559322033898305,0.4904632152588556,0.41420118343195267,0.047619047619047616
1D CNN,2,0.4135514018691589,0.19010283163957653,0.2011234440256448,0.3983050908374701,0.23204419889502761,0.4426229508196721,0.31746031746031744,0.6010928961748634
1D CNN,3,0.42757009345794394,0.22484975272958452,0.23651247251030627,0.41338988244637653,0.15286624203821655,0.45294117647058824,0.5136612021857924,0.5340909090909091
1D CNN,4,0.3981264637002342,0.1850781957790616,0.18963988356985845,0.3924604147420547,0.3776223776223776,0.345679012345679,0.2975206611570248,0.5490196078431373
1D CNN,5,0.3840749414519906,0.16901481404744634,0.17256516626725749,0.384066509110338,0.15053763440860216,0.3961038961038961,0.5113636363636364,0.4782608695652174
